映像名称                       PID 会话名              会话#       内存使用
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         24 K
Registry                        96 Services                   0     32,248 K
smss.exe                       400 Services                   0        268 K
csrss.exe                      620 Services                   0      1,832 K
wininit.exe                    704 Services                   0        232 K
services.exe                   776 Services                   0      7,768 K
lsass.exe                      804 Services                   0     11,508 K
svchost.exe                    984 Services                   0        988 K
fontdrvhost.exe               1016 Services                   0        252 K
svchost.exe                     72 Services                   0     18,764 K
WUDFHost.exe                   428 Services                   0      6,056 K
WUDFHost.exe                  1044 Services                   0      6,364 K
svchost.exe                   1100 Services                   0     11,196 K
svchost.exe                   1152 Services                   0      3,864 K
svchost.exe                   1312 Services                   0      3,760 K
svchost.exe                   1348 Services                   0      2,064 K
svchost.exe                   1424 Services                   0      4,568 K
svchost.exe                   1436 Services                   0      4,368 K
svchost.exe                   1572 Services                   0      2,888 K
svchost.exe                   1580 Services                   0      3,612 K
svchost.exe                   1620 Services                   0      1,476 K
svchost.exe                   1704 Services                   0      4,936 K
svchost.exe                   1720 Services                   0      3,360 K
QQPCRTP.exe                   1912 Services                   0     18,644 K
svchost.exe                   1948 Services                   0      4,976 K
svchost.exe                   1968 Services                   0      5,392 K
svchost.exe                   1980 Services                   0     11,260 K
svchost.exe                   1648 Services                   0      3,424 K
svchost.exe                   1844 Services                   0      3,748 K
svchost.exe                   1852 Services                   0      7,832 K
WUDFHost.exe                  1868 Services                   0      1,932 K
svchost.exe                   2116 Services                   0      3,880 K
svchost.exe                   2268 Services                   0      8,860 K
svchost.exe                   2280 Services                   0      9,308 K
svchost.exe                   2396 Services                   0      4,276 K
svchost.exe                   2404 Services                   0      1,852 K
svchost.exe                   2412 Services                   0      5,132 K
svchost.exe                   2432 Services                   0      5,884 K
Memory Compression            2600 Services                   0    816,540 K
svchost.exe                   2676 Services                   0      5,248 K
igfxCUIService.exe            2728 Services                   0      2,276 K
svchost.exe                   2840 Services                   0      3,036 K
svchost.exe                   2848 Services                   0      7,628 K
svchost.exe                   2956 Services                   0      7,464 K
WTabletServiceISD.exe         3048 Services                   0      1,628 K
svchost.exe                   3056 Services                   0     10,076 K
HaozipSvc.exe                 2528 Services                   0     10,160 K
svchost.exe                   2708 Services                   0      5,316 K
svchost.exe                   2864 Services                   0      2,588 K
svchost.exe                   3044 Services                   0      6,668 K
svchost.exe                   3176 Services                   0     15,288 K
svchost.exe                   3248 Services                   0      3,876 K
svchost.exe                   3348 Services                   0      7,988 K
svchost.exe                   3456 Services                   0      6,464 K
spoolsv.exe                   3564 Services                   0      4,816 K
svchost.exe                   3696 Services                   0      3,060 K
AdminService.exe              3820 Services                   0      3,820 K
AdAppMgrSvc.exe               3828 Services                   0     14,152 K
AlibabaProtect.exe            3836 Services                   0     16,696 K
svchost.exe                   3856 Services                   0      2,704 K
esif_uf.exe                   3864 Services                   0        664 K
IntelCpHDCPSvc.exe            3872 Services                   0      1,636 K
ddps.exe                      3884 Services                   0      8,072 K
svchost.exe                   3892 Services                   0      8,312 K
svchost.exe                   3904 Services                   0     17,556 K
svchost.exe                   3912 Services                   0     17,576 K
Lenovo.Modern.ImControlle     3924 Services                   0     46,500 K
svchost.exe                   3932 Services                   0     24,228 K
FlashHelperService.exe        3944 Services                   0      8,292 K
llss.exe                      3980 Services                   0      9,188 K
svchost.exe                   4012 Services                   0      3,660 K
mysqld.exe                    4036 Services                   0      6,916 K
svchost.exe                   4068 Services                   0      5,632 K
pcas.exe                      3104 Services                   0      9,312 K
QQProtect.exe                 3676 Services                   0     11,476 K
svchost.exe                   4144 Services                   0      1,180 K
SecurityHealthService.exe     4188 Services                   0     10,352 K
svchost.exe                   4224 Services                   0      1,644 K
TsService.exe                 4232 Services                   0     13,208 K
svchost.exe                   4256 Services                   0     14,212 K
ymc.exe                       4288 Services                   0     21,160 K
svchost.exe                   4600 Services                   0      7,600 K
svchost.exe                   4912 Services                   0      4,844 K
IntelCpHeciSvc.exe            5068 Services                   0      2,332 K
svchost.exe                   5164 Services                   0      1,832 K
